alpha,beta,p,distance_to_best,mean,stddev
0.0,3.0,0.6,1459.5162125033821,9137.293606029403,114.11634595122175
0.0,3.0,0.7,1459.5162125033821,9102.052186699415,88.78484849762722
0.0,3.0,0.7999999999999999,1535.586856065438,9148.349449048315,88.98279901585491
0.0,3.0,0.8999999999999999,1459.5162125033821,9057.109506932806,50.898382937766705
0.0,4.0,0.0,743.427082138327,8295.71543051825,19.92284328703126
0.0,4.0,0.1,743.427082138327,8356.292547437379,84.26453505476945
0.0,4.0,0.2,749.2255674923017,8367.279897485252,87.42988409725228
0.0,4.0,0.30000000000000004,743.427082138327,8369.513765762696,120.75726163092797
0.0,4.0,0.4,743.427082138327,8294.842167662591,11.029574787235967
0.0,4.0,0.5,743.427082138327,8299.322419926822,24.758355086851946
0.0,4.0,0.6,743.427082138327,8330.252001528159,58.436626273543624
0.0,4.0,0.7,743.427082138327,8330.252001528159,58.436626273543624
0.0,4.0,0.7999999999999999,749.2255674923017,8335.962509878367,54.20291622357743
0.0,4.0,0.8999999999999999,743.427082138327,8390.563801626071,95.24062205215685
0.0,5.0,0.0,491.7461985175996,8071.003611848788,29.986923309435966
0.0,5.0,0.1,465.52121851098036,8058.024658814857,65.05618618852361
0.0,5.0,0.2,451.97072202429354,8037.607674964309,31.42710080048218
0.0,5.0,0.30000000000000004,465.52121851098036,8031.927953816516,15.522588911998385
0.0,5.0,0.4,451.97072202429354,8040.421885463584,69.77030222211977
0.0,5.0,0.5,451.97072202429354,8038.586944749749,42.55810253735831
0.0,5.0,0.6,465.52121851098036,8026.613433701862,13.39778934197058
0.0,5.0,0.7,451.97072202429354,8038.892013595112,46.6880882531101
0.0,5.0,0.7999999999999999,451.97072202429354,8027.420454633249,44.0409730867956
0.0,5.0,0.8999999999999999,451.97072202429354,8018.273084139214,16.86219653337676
0.0,6.0,0.0,135.83820642920364,7749.959473643491,82.31496559463112
0.0,6.0,0.1,251.73238112705894,7834.193870108948,55.40417556406903
0.0,6.0,0.2,135.83820642920364,7829.920264709999,113.92654959209928
0.0,6.0,0.30000000000000004,135.83820642920364,7745.438923664708,79.809509329829
0.0,6.0,0.4,135.83820642920364,7773.239281373474,138.3057257625558
0.0,6.0,0.5,135.83820642920364,7806.66396902473,135.0313634825774
0.0,6.0,0.6,135.83820642920364,7793.294078678607,117.66905380995159
0.0,6.0,0.7,135.83820642920364,7797.644134131022,112.4622547702595
0.0,6.0,0.7999999999999999,135.83820642920364,7856.791476473245,132.95504810936606
0.0,6.0,0.8999999999999999,135.83820642920364,7753.346186328574,73.1152530258068
0.0,7.0,0.0,135.83820642920364,7769.178484782516,67.74578262122695
0.0,7.0,0.1,135.83820642920364,7774.734581346394,67.32782777707754
0.0,7.0,0.2,135.83820642920364,7749.052228412864,97.63805909423506
0.0,7.0,0.30000000000000004,135.83820642920364,7756.3467239617885,57.00507921668547
0.0,7.0,0.4,230.45181148260872,7829.415893001709,54.10504000713491
0.0,7.0,0.5,135.83820642920364,7774.734581346394,67.32782777707756
0.0,7.0,0.6,135.83820642920364,7753.4887340565165,74.83704496898264
0.0,7.0,0.7,247.32572629371134,7835.8134811897335,40.50100161381148
0.0,7.0,0.7999999999999999,135.83820642920364,7777.282694743223,63.14684080944363
0.0,7.0,0.8999999999999999,135.83820642920364,7751.384172717633,56.38712966120022
0.0,8.0,0.0,212.37411836606952,7812.991012488972,39.66689153783808
0.0,8.0,0.1,212.37411836606952,7824.777602367762,40.28953835552875
0.0,8.0,0.2,247.32572629371134,7836.780773333039,52.363958991694325
0.0,8.0,0.30000000000000004,212.37411836606952,7812.036056517881,52.81160328604453
0.0,8.0,0.4,247.32572629371134,7831.330469351471,23.834350620550193
0.0,8.0,0.5,294.4622408486521,7850.782953380555,18.852689130197852
0.0,8.0,0.6,212.37411836606952,7804.851537486949,46.14711440166995
0.0,8.0,0.7,247.32572629371134,7831.647159205443,24.54448179030573
0.0,8.0,0.7999999999999999,247.32572629371134,7820.00675929088,28.189490230364687
0.0,8.0,0.8999999999999999,212.37411836606952,7778.401034984217,37.38746629382338
0.0,9.0,0.0,127.99359354355147,7718.394816342371,62.70084638059287
0.0,9.0,0.1,87.25675361358117,7671.4904132032525,42.78715109967433
0.0,9.0,0.2,54.42239478142892,7687.662308068173,57.42323151530143
0.0,9.0,0.30000000000000004,54.42239478142892,7677.113229711673,82.56672448589589
0.0,9.0,0.4,127.99359354355147,7696.285748315239,29.906863853050105
0.0,9.0,0.5,54.42239478142892,7645.428648478502,56.33988795734387
0.0,9.0,0.6,54.42239478142892,7704.949937705665,69.5983811777055
0.0,9.0,0.7,127.99359354355147,7707.252450790724,52.67980466898847
0.0,9.0,0.7999999999999999,54.42239478142892,7708.157780699305,102.86756520291982
0.0,9.0,0.8999999999999999,54.42239478142892,7665.256243441798,44.12756234742714
0.1,1.0,0.0,6521.845313627382,15024.365804159232,607.5969667621725
0.1,1.0,0.1,6762.240759284074,14841.270374914813,417.70912488020156
0.1,1.0,0.2,6811.691915082161,15017.527516747807,424.6024349087256
0.1,1.0,0.30000000000000004,6766.612183186569,14712.068889224289,237.01398818483653
0.1,1.0,0.4,7354.6639043298765,15004.750194692993,101.9263992045522
0.1,1.0,0.5,6515.24863973494,14652.935862863842,536.1291372326601
0.1,1.0,0.6,7130.788585594921,15091.079045022101,263.88859651081344
0.1,1.0,0.7,7509.7386840935615,15317.14076187704,181.76502251960824
0.1,1.0,0.7999999999999999,6245.533867079661,14826.773435449826,665.266999851652
0.1,1.0,0.8999999999999999,7248.863651957618,15102.032164433887,237.10035862657483
0.1,2.0,0.0,2944.5389931552254,10846.304307295322,220.54497024882804
0.1,2.0,0.1,2889.660677627453,10732.528467550437,218.07272951187775
0.1,2.0,0.2,2944.5389931552254,10795.06090674571,200.2805714216026
0.1,2.0,0.30000000000000004,2917.095540062419,10700.62386107107,274.71052127923826
0.1,2.0,0.4,2932.95769479529,10646.608282411184,177.70404324573198
0.1,2.0,0.5,2582.5572007356714,10539.361852377411,358.1969332378773
0.1,2.0,0.6,2718.938703076301,10691.710149442359,346.0762379361183
0.1,2.0,0.7,2859.7141281776057,10617.275882841746,152.85315514341121
0.1,2.0,0.7999999999999999,2590.3505619153,10596.569744856462,351.882160243892
0.1,2.0,0.8999999999999999,2901.1451130811474,10713.919461214075,205.381557112755
0.1,3.0,0.0,1518.7625845006169,9120.635157666107,58.94293924766974
0.1,3.0,0.1,1255.7606881868796,8963.649736895757,179.40267493172377
0.1,3.0,0.2,1179.0809088766528,8935.42909601867,225.9337063957535
0.1,3.0,0.30000000000000004,1322.6574837830758,9049.530838612769,171.2238766097813
0.1,3.0,0.4,1302.1003273198912,8966.990536754844,111.21218934751974
0.1,3.0,0.5,1412.198535217125,9052.72640745268,112.69444371647208
0.1,3.0,0.6,1376.9891642610146,9030.946302693468,90.72004235590344
0.1,3.0,0.7,1352.0524274263134,9103.600398314355,131.5724320062132
0.1,3.0,0.7999999999999999,1331.5526785560796,9077.348073431562,162.0709183840596
0.1,3.0,0.8999999999999999,1459.5162125033821,9103.486745933244,84.48021996899425
0.1,4.0,0.0,749.2255674923017,8388.505375813822,73.27881829987771
0.1,4.0,0.1,496.41712950251804,8391.37837539929,211.62018279679808
0.1,4.0,0.2,778.0978999197141,8402.18325608886,105.12675223252344
0.1,4.0,0.30000000000000004,567.9166628382764,8326.046597618306,198.78474725271727
0.1,4.0,0.4,428.4652636836463,8209.333111229604,205.88514715061422
0.1,4.0,0.5,729.8733436118491,8332.92362790456,36.127883547099074
0.1,4.0,0.6,642.2199082988736,8375.218650539167,135.20255088176827
0.1,4.0,0.7,562.6227970005084,8293.238375241823,116.744177238354
0.1,4.0,0.7999999999999999,562.6227970005084,8279.483896095699,138.3200244056974
0.1,4.0,0.8999999999999999,562.6227970005084,8284.450563090426,110.16843047487609
0.1,5.0,0.0,451.97072202429354,8055.606043733667,45.10163997676961
0.1,5.0,0.1,481.7591149423406,8151.352486312954,94.21466672650143
0.1,5.0,0.2,533.2000763006063,8171.388516464478,56.05749690697084
0.1,5.0,0.30000000000000004,481.7591149423406,8065.078705278078,58.374270073786526
0.1,5.0,0.4,537.4946288259189,8118.114441748337,28.892500215672236
0.1,5.0,0.5,513.3523760753433,8083.855541842052,21.458875105272504
0.1,5.0,0.6,519.0254652472349,8109.385353811492,54.550994980961995
0.1,5.0,0.7,482.26431273893104,8061.960143038386,51.35799037526805
0.1,5.0,0.7999999999999999,344.0009589970432,8055.296915500185,106.96692442571022
0.1,5.0,0.8999999999999999,444.3248683558695,8027.484387400855,40.261676350087455
0.1,6.0,0.0,251.73238112705894,7896.146182375855,59.20799391661521
0.1,6.0,0.1,163.92256450442073,7895.2203819063425,114.34407107363182
0.1,6.0,0.2,163.92256450442073,7826.459989873121,123.70347981829235
0.1,6.0,0.30000000000000004,163.92256450442073,7847.417841096925,103.7132592923186
0.1,6.0,0.4,135.83820642920364,7762.063898917592,117.68755374857096
